Annee;population;deces;taux;taux normalise 2021;
1991;58280135;537401;9220,998;14775,585897736504;
1992;58571237;533790;9113,518;14414,296016979324;
1993;58852002;547376;9300,891;14496,459101052851;
1994;59070077;536765;9086,919;13936,41523352725;
1995;59280577;545754;9206,287;13907,706766177576;
1996;59487413;559400;9403,671;14033,678504939156;
1997;59691177;552304;9252,69;13622,646271626561;
1998;59899347;571010;9532,825;13851,712292403608;
1999;60122665;603402;10036,183;14425,535141052605;
2000;60508150;550188;9092,792;12932,423432155534;
2001;60941410;550787;9037,977;12720,697709243632;
2002;61385070;552785;9005,203;12555,493993535856;
2003;61824030;570981;9235,584;12795,956981894362;
2004;62251062;526886;8463,888;11584,708271172416;
2005;62730537;546036;8704,469;11753,533235657713;
2006;63186117;533628;8445,336;11228,091255048224;
2007;63600690;538444;8466,009;11110,48351990835;
2008;63961859;550132;8600,9375;11103,043574866637;
2009;64304500;556144;8648,602;10959,45133271414;
2010;64612939;557158;8623,009;10735,01123056398;
2011;64933400;549054;8455,648;10304,993582116665;
2012;65241241;578452;8866,355;10612,920125124183;
2013;65564756;577655;8810,45;10354,659283574112;
2014;66130873;567662;8583,919;9909,411075059506;
2015;66422469;601984;9062,958;10240,493211667446;
2016;66602645;602359;9044,07;10041,681299708438;
2017;66774482;615655;9219,915;9919,679317473569;
2018;66883761;618705;9250,452;9731,490022173439;
2019;66977703;621788;9283,507;9548,315405096753;
2020;67063703;676910;10093,537;10148,773183318963;
2021;67407241;431758;6405,217;6405,216977073274;
